serial num,sourcePort,systemName,managementAddress,portId
,wan0,Hydrochem_Philadelphia_PA_Fios,68.238.234.110,bridge1/ether2
Q2HY-SEM6-AMRQ,,,,
,port5,us-epe-swac0,10.100.37.2,24
Q2HY-SLH5-XRVB,,,,
,port2,,,b0:0c:d1:4e:89:8d
Q2HY-SLH5-XRVB,,,,
,port5,,,b0:5a:da:b7:6e:ad
Q2MN-47RV-4NMF,,,,
,wan1,Hydrochem_Reserve_LA_cable,50.252.160.173,bridge1/ether2
Q2MN-47RV-4NMF,,,,
,port3,US-LLA-SWCA0,10.5.96.2,1
Q2MN-47RV-4NMF,,,,
,wan0,US-LLA-SWCA0,10.5.96.2,23
Q2MN-49AV-8JYC,,,,
,wan0,Hydrochem_Toledo_OH,12.26.125.198,bridge1/ether2
Q2MN-49AV-8JYC,,,,
,port1,US-TLW-SWCA0,10.15.135.2,1
Q2MN-4RPF-R7BN,,,,
,port3,,,54:bf:64:64:6c:a1
Q2MN-4RPF-R7BN,,,,
,wan0,Hydrochem_Robinson_IL_cable,192.168.35.254,bridge1/ether2
Q2MN-4RPF-R7BN,,,,
,port2,,,10:e7:c6:b6:41:62
Q2MN-6S4P-XYXA,,,,
,wan0,Hydrochem_Bensenville_Il,50.249.215.173,bridge1/ether4
Q2MN-6S4P-XYXA,,,,
,port1,US-CCO-SWCA0,10.20.53.2,1
Q2MN-6Y2S-ZNQT,,,,
,wan0,Hydrochem_Colton_CA,99.128.20.13,bridge1/ether2
Q2MN-6Y2S-ZNQT,,,,
,wan1,Hydrochem_Colton_CA_Fiber,12.25.172.121,bridge1/ether5
Q2MN-6Y2S-ZNQT,,,,
,port1,US-SCE-SWCA0,10.20.51.2,23
Q2MN-BPYE-DCJE,,,,
,wan1,Hydrochem_Tyler_TX,12.15.152.25,bridge1/ether2
Q2MN-BPYE-DCJE,,,,
,port1,SIP-T46S,,c4:5a:b1:e3:a7:04
Q2MN-BZM7-HE5A,,,,
,wan0,Hydrochem_Long_Beach,47.180.167.46,bridge1/ether2
Q2MN-BZM7-HE5A,,,,
,port1,US-LCA-SWCA0,10.20.32.2,1
Q2MN-C77R-TQ9E,,,,
,wan0,Hydrochem_Jeanerette_LA_fiber,12.237.117.233,bridge1/ether2
Q2MN-C77R-TQ9E,,,,
,port1,us-jla-swac0,10.16.23.2,1
Q2MN-EAJ4-ZGV4,,,,
,wan1,Hydrochem_Commerce_City,50.209.243.165,bridge1/ether2
Q2MN-EAJ4-ZGV4,,,,
,port1,,,gi1
Q2MN-GVSD-AYWP,,,,
,port1,044-mtvernon-swacc0,10.100.67.2,1
Q2MN-ZP67-CDFP,,,,
,wan1,Hydrochem_Baltimore_MD_cable,192.168.35.254,bridge1/ether2
Q2MN-ZP67-CDFP,,,,
,port3,us-bge-swac0,10.5.174.2,24
Q2MN-ZP9W-CSVW,,,,
,wan1,Hydrochem_Channahon,50.240.157.93,bridge1/ether2
Q2MN-ZP9W-CSVW,,,,
,port1,switch54d8bd,,gi1
Q2MN-ZQ86-AB4X,,,,
Q2MN-ZQ86-AB4X,,,,
,wan0,"79783_AtronSolutions,LLC-SanArdo",12.47.128.9,giga-eth 0/2
Q2MN-ZQ86-AB4X,,,,
,wan1,Hydrochem_San_Ardo_fiber,12.202.14.169,bridge1/ether2
Q2MN-ZQL3-HRD3,,,,
,wan1,Meraki MX64W - 01563-UGC-FW0 - US-IL-GRAN1,47.50.221.174,0
Q2MN-ZQL3-HRD3,,,,
,wan0,Meraki MX64W - 01563-UGC-FW0 - US-IL-GRAN1,47.50.221.174,1
Q2MN-ZQL3-HRD3,,,,
,port1,,,08:92:04:27:94:98
Q2MN-ZRA6-FDJD,,,,
,wan0,Hydrochem_Lafayette_LA,12.29.202.185,bridge1/ether2
Q2MN-ZRA6-FDJD,,,,
,port2,US-LFL-SWCA0,10.5.104.2,1
Q2MN-ZRCS-TG9E,,,,
Q2MN-ZRCS-TG9E,,,,
,wan1,Hydrochem_Gibson_LA,12.207.14.209,bridge1/ether2
Q2MN-ZRCS-TG9E,,,,
,port3,us-lan-swac0,10.5.138.2,1
Q2MN-ZS8A-FZVQ,,,,
,port2,,,b0:0c:d1:4f:4d:00
Q2MN-ZS8A-FZVQ,,,,
,wan0,Hydrochem_Fairfield_AL_fixed_wireless,192.168.35.254,bridge1/ether2
Q2MN-ZS8A-FZVQ,,,,
,port3,,,c0:25:a5:b2:a3:53
Q2PY-MWT4-5W6D,,,,
,port4,,,10:62:e5:e8:fc:df
Q2PY-MWT4-5W6D,,,,
,port5,,,08:92:04:8d:9e:0e
